Hour,Demand in region 1 (MWh)
1,435.457214
2,422.3033088
3,409.807563
4,405.1819122
5,400.0742298
6,385.2054042
7,384.4916262
8,391.6294044
9,411.8561976
10,436.1339124
11,464.981658
12,477.8296584
13,478.2653406
14,477.8574678
15,483.3452136
16,502.9045788
17,532.280706
18,544.6466742
19,535.5344202
20,517.6250868
21,508.10496
22,507.391182
23,477.2271186
24,449.4917532
25,432.240579
26,426.0483246
27,427.309023
28,435.8001978
29,454.145214
30,497.5188012
31,546.0000708
32,577.8697854
33,590.8382934
34,604.8728328
35,617.3222298
36,623.0695314
37,618.0730866
38,613.4659758
39,611.7510552
40,622.9119438
41,651.4815948
42,652.3158804
43,635.0925156
44,598.1800074
45,573.281214
46,561.4899756
47,523.6412136
48,492.6243246
49,471.7579122
50,460.439436
51,458.1405156
52,467.8460394
53,484.8747378
54,523.4558172
55,570.630039
56,597.6794358
57,613.8553092
58,631.8388008
59,649.0250868
60,650.1374676
61,642.6103566
62,629.9662932
63,623.9594358
64,629.873595
65,651.0366426
66,649.0158168
67,629.0393088
68,592.3121976
69,571.3623564
70,556.623309
71,514.1767056
72,482.8353726
73,457.7882616
74,448.2681342
75,451.9853406
76,463.1276898
77,486.7657854
78,533.8843884
79,583.2833724
80,615.8668644
81,633.6927696
82,650.721468
83,667.342293
84,665.4419754
85,645.3356898
86,627.7971504
87,621.3175314
88,626.703309
89,643.1294676
90,637.5212136
91,616.6177218
92,580.6785468
93,558.3011502
94,543.8123886
95,511.0434996
96,476.383563
97,456.2865468
98,445.895055
99,447.3411504
100,453.4870548
101,455.164896
102,458.3722614
103,484.9396266
104,519.5532138
105,551.358039
106,577.2765156
107,595.1951184
108,597.1603248
109,587.0191188
110,575.7748008
111,575.2278804
112,589.6424838
113,618.5829282
114,622.5318804
115,606.0037536
116,575.8304202
117,556.808706
118,553.2676266
119,522.1858488
120,481.3058484
121,452.9957532
122,442.8730866
123,443.2068012
124,444.1059756
125,436.9125786
126,428.0598804
127,440.4165786
128,466.761468
129,496.350801
130,521.8706742
131,550.15296
132,553.2305472
133,536.7580392
134,525.272706
135,526.125531
136,547.5944838
137,580.3170234
138,592.2287694
139,581.9577852
140,560.4054042
141,550.4310552
142,551.367309
143,516.503436
144,484.0311822
145,464.9631186
146,461.1717534
147,467.0488326
148,486.3115632
149,524.9575314
150,601.4151822
151,674.4522612
152,698.9802612
153,704.2269918
154,711.1237536
155,721.8118806
156,718.7342934
157,716.1109278
158,707.0542932
159,702.1690866
160,708.0276264
161,729.8395632
162,727.281087
163,709.8815946
164,673.2193722
165,642.9348012
166,617.9247696
167,571.2603882
168,536.656071
169,516.327309
170,510.3389916
171,515.7247692
172,527.35842
173,552.9895314
174,622.0961976
175,687.1241346
176,702.8087058
177,700.7693406
178,710.7251502
179,727.438674
180,724.0737216
181,720.801468
182,712.5791184
183,708.7970232
184,710.437785
185,731.9716266
186,729.4502298
187,711.3462294
188,676.639944
189,647.1062298
190,624.7381026
191,576.3773406
192,541.6154358
193,525.1243884
194,517.384071
195,521.4998802
196,536.9805156
197,564.16896
198,634.5177852
199,699.3417852
200,722.7852138
201,718.4005788
202,726.919563
203,739.7582934
204,732.5556264
205,730.5440706
206,721.5615948
207,715.6010868
208,717.4365156
209,733.1767056
210,725.862801
211,704.4587376
212,665.3678172
213,632.7565152
214,609.9990552
215,562.4262294
216,530.0559438
217,513.6761346
218,505.0459122
219,508.438674
220,515.7803886
221,539.8634358
222,609.4521342
223,678.5031822
224,700.2409596
225,700.7137218
226,707.1562614
227,715.3229916
228,711.5408964
229,708.8341026
230,705.0612774
231,704.134293
232,708.175944
233,730.9797534
234,728.3007696
235,713.8768962
236,679.8380394
237,649.5905472
238,629.2525152
239,584.8592454
240,554.7600708
241,535.3768326
242,524.2437534
243,524.2530234
244,530.9458488
245,552.9802614
246,618.5921976
247,685.761468
248,710.6880708
249,707.9441976
250,715.1468646
251,722.896452
252,718.4469282
253,705.5896584
254,692.3801346
255,687.1704834
256,694.7532138
257,723.8419758
258,719.3275632
259,699.2027376
260,661.1129598
261,633.0438804
262,618.2492136
263,586.592706
264,557.0219124
265,534.3200706
266,517.9958802
267,512.5452138
268,510.1721346
269,503.1085152
270,500.3553726
271,531.390801
272,565.9858488
273,590.6528964
274,607.9967694
275,617.405658
276,613.577214
277,596.4187374
278,584.145468
279,583.255563
280,593.2021026
281,634.0357536
282,642.3508008
283,626.9443248
284,591.3574044
285,573.7632456
286,575.5059756
287,552.6650868
288,527.0895948
289,504.5082612
290,493.189785
291,485.0508648
292,481.0926426
293,471.1831818
294,458.0663568
295,470.2932774
296,491.465595
297,522.4824834
298,550.0139124
299,574.7551188
300,578.16642
301,561.9534678
302,548.020896
303,546.1391184
304,560.3961342
305,601.6005786
306,617.1924516
307,605.2065468
308,582.912579
309,573.4944204
310,580.789785
311,556.1876262
312,530.1393726
313,513.2682612
314,504.406293
315,505.1664204
316,518.0514996
317,551.358039
318,630.921087
319,700.0741026
320,725.3622294
321,730.3679442
322,740.8892136
323,748.2031188
324,745.4221662
325,741.4083246
326,733.046928
327,728.0041344
328,723.6287694
329,748.8612774
330,748.805658
331,731.999436
332,698.1552456
333,671.1521976
334,652.2509916
335,613.4196264
336,588.7154994
337,570.0182298
338,561.0635628
339,555.8817216
340,564.5490234
341,587.5660392
342,654.9763248
343,718.4283882
344,734.5208328
345,733.584579
346,741.7883886
347,749.3896584
348,745.5982932
349,740.1847056
350,732.2682612
351,726.9566424
352,726.4282614
353,752.152071
354,751.9203246
355,735.8742294
356,702.6325788
357,672.5704836
358,651.583563
359,616.8309282
360,588.7340394
361,570.463182
362,558.551436
363,557.16096
364,565.1052138
365,590.096706
366,655.4676264
367,718.9104204
368,735.6146742
369,739.1186742
370,748.638801
371,754.9144836
372,749.2691502
373,745.9041978
374,735.5590548
375,728.2914996
376,725.7422934
377,752.5414044
378,752.7638802
379,737.7467376
380,699.7867374
381,670.0768962
382,654.1420392
383,619.176198
384,589.7166426
385,570.9544836
386,560.3590548
387,558.1806426
388,561.3138486
389,583.4594994
390,648.9231186
391,714.5443248
392,731.9345472
393,731.3690868
394,736.6250868
395,748.0177218
396,741.5381028
397,736.217214
398,728.5417854
399,724.277658
400,720.616071
401,748.2680076
402,751.8461664
403,735.2994996
404,698.4982296
405,674.4522612
406,656.3668008
407,621.7439442
408,591.7281978
409,573.967182
410,561.7958802
411,557.0775312
412,561.8607696
413,586.0921344
414,651.2869278
415,715.1097852
416,733.7885154
417,739.0259754
418,746.710674
419,747.3873726
420,739.6192458
421,726.1408962
422,712.9499124
423,704.0972136
424,707.638293
425,735.0399438
426,731.5637532
427,710.7807696
428,675.8798172
429,646.2255948
430,636.2512458
431,605.3826738
432,580.789785
433,559.5062298
434,546.111309
435,533.6526426
436,526.6261026
437,519.293658
438,514.6958172
439,547.4276262
440,579.1582932
441,609.8229282
442,627.5283246
443,638.3647692
444,631.2362616
445,615.5146104
446,602.3699754
447,603.8160708
448,607.588896
449,648.2927694
450,656.9229918
451,635.806293
452,599.5890234
453,585.693531
