hours,Wind,Solar
1,0.6,0
2,0.5,0
3,0.45,0
4,0.45,0
5,0.45,0
6,0.4,0
7,0.4,0.1
8,0.4,0.2
9,0.4,0.3
10,0.35,0.5
11,0.35,0.6
12,0.3,0.75
13,0.3,0.9
14,0.3,0.7
15,0.25,0.6
16,0.25,0.5
17,0.2,0.4
18,0.15,0.3
19,0.2,0.1
20,0.2,0
21,0.3,0
22,0.4,0
23,0.5,0
24,0.75,0
25,0.6,0
26,0.5,0
27,0.45,0
28,0.45,0
29,0.45,0
30,0.4,0
31,0.4,0.1
32,0.4,0.2
33,0.4,0.3
34,0.35,0.5
35,0.35,0.6
36,0.3,0.75
37,0.3,0.9
38,0.3,0.7
39,0.25,0.6
40,0.25,0.5
41,0.2,0.4
42,0.15,0.3
43,0.2,0.1
44,0.2,0
45,0.3,0
46,0.4,0
47,0.5,0
48,0.75,0
49,0.6,0
50,0.5,0
51,0.45,0
52,0.45,0
53,0.45,0
54,0.4,0
55,0.4,0.1
56,0.4,0.2
57,0.4,0.3
58,0.35,0.5
59,0.35,0.6
60,0.3,0.75
61,0.3,0.9
62,0.3,0.7
63,0.25,0.6
64,0.25,0.5
65,0.2,0.4
66,0.15,0.3
67,0.2,0.1
68,0.2,0
69,0.3,0
70,0.4,0
71,0.5,0
72,0.75,0
73,0.6,0
74,0.5,0
75,0.45,0
76,0.45,0
77,0.45,0
78,0.4,0
79,0.4,0.1
80,0.4,0.2
81,0.4,0.3
82,0.35,0.5
83,0.35,0.6
84,0.3,0.75
85,0.3,0.9
86,0.3,0.7
87,0.25,0.6
88,0.25,0.5
89,0.2,0.4
90,0.15,0.3
91,0.2,0.1
92,0.2,0
93,0.3,0
94,0.4,0
95,0.5,0
96,0.75,0
97,0.6,0
98,0.5,0
99,0.45,0
100,0.45,0
101,0.45,0
102,0.4,0
103,0.4,0.1
104,0.4,0.2
105,0.4,0.3
106,0.35,0.5
107,0.35,0.6
108,0.3,0.75
109,0.3,0.9
110,0.3,0.7
111,0.25,0.6
112,0.25,0.5
113,0.2,0.4
114,0.15,0.3
115,0.2,0.1
116,0.2,0
117,0.3,0
118,0.4,0
119,0.5,0
120,0.75,0
121,0.6,0
122,0.5,0
123,0.45,0
