Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Highest Running Cost ($/MWh),Production Cost ($),Ramp Up (MWh),Ramp Down (MWh),Ramp Cost ($),Market Cost ($),Unserved Energy (MWh),Unserved Cost ($),Spill (MWh),Spill Cost ($),Curtailment (MWh)
1,435.457214,0.0,180.0,100.0,155.45721,0.0,0.0,180.0,100.0,600.0,1000.0,51.5,51.5,9866.046315,0.0,0.0,0.0,22426.046521,0.0,0.0,0.0,0.0,0.0
2,422.303309,0.0,150.0,100.0,172.30331,0.0,0.0,150.0,100.0,600.0,1000.0,51.5,51.5,10673.620465,16.8461,30.0,0.0,21748.620403,0.0,0.0,0.0,0.0,0.0
3,409.807563,0.0,135.0,100.0,174.80756,0.0,0.0,135.0,100.0,600.0,1000.0,51.5,51.5,10772.58934,2.50425,15.0,0.0,21105.089494,0.0,0.0,0.0,0.0,0.0
4,405.181912,0.0,135.0,100.0,170.18191,0.0,0.0,135.0,100.0,600.0,1000.0,51.5,51.5,10534.368365,0.0,4.62565,0.0,20866.868478,0.0,0.0,0.0,0.0,0.0
5,400.07423,0.0,135.0,100.0,165.07423,0.0,0.0,135.0,100.0,600.0,1000.0,51.5,51.5,10271.322845,0.0,5.10768,0.0,20603.822835,0.0,0.0,0.0,0.0,0.0
6,385.205404,0.0,120.0,100.0,165.2054,0.0,0.0,120.0,100.0,600.0,1000.0,51.5,51.5,10248.0781,0.13117,15.0,0.0,19838.078316,0.0,0.0,0.0,0.0,0.0
7,384.491626,50.0,120.0,100.0,114.49163,0.0,50.0,120.0,100.0,600.0,1000.0,51.5,51.5,7686.318945,50.0,50.71377,0.0,19801.318749,0.0,0.0,0.0,0.0,0.0
8,391.629404,100.0,120.0,100.0,71.629404,0.0,100.0,120.0,100.0,600.0,1000.0,51.5,51.5,5528.914306,50.0,42.862226,0.0,20168.914327,0.0,0.0,0.0,0.0,0.0
9,411.856198,150.0,120.0,100.0,41.856198,0.0,150.0,120.0,100.0,600.0,1000.0,51.5,51.5,4045.594197,50.0,29.773206,0.0,21210.594176,0.0,0.0,0.0,0.0,0.0
10,436.133912,250.0,105.0,81.133912,0.0,0.0,250.0,105.0,100.0,600.0,1000.0,15.0,15.0,1677.00868,100.0,75.722286,490.518288,6542.008686,0.0,0.0,0.0,0.0,0.0
11,464.981658,300.0,89.981658,75.0,0.0,0.0,300.0,105.0,100.0,600.0,1000.0,2.0,15.0,1604.963316,50.0,21.152254,159.481712,929.963316,0.0,0.0,0.0,0.0,15.018342
12,477.829658,375.0,27.829658,75.0,0.0,0.0,375.0,90.0,100.0,600.0,1000.0,2.0,15.0,1555.659316,75.0,62.152,0.0,955.659317,0.0,0.0,0.0,0.0,62.170342
