Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Shadow Price ($/MWh),Production Cost ($),Market Cost ($),Curtailment (MWh)
1,435.457214,0.0,208.97561,226.4816,0.0,0.0,0.0,208.97561,300.0,400.0,1000.0,21.5,21.5,5287.30562,9362.330101,0.0
2,422.303309,0.0,195.41463,226.88867,0.0,0.0,0.0,195.414634,300.0,400.0,1000.0,21.5,21.5,5268.935665,9079.521139,4e-06
3,409.807563,0.0,188.4878,221.31976,0.0,0.0,0.0,188.487805,300.0,400.0,1000.0,21.5,21.5,5135.35044,8810.862604,5e-06
4,405.181912,0.0,176.82927,228.35264,0.0,0.0,0.0,176.829268,300.0,400.0,1000.0,21.5,21.5,5263.2403,8711.411112,0.0
5,400.07423,0.0,173.87805,226.19618,0.0,0.0,0.0,173.878049,300.0,400.0,1000.0,21.5,21.5,5210.97397,8601.595941,0.0
6,385.205404,0.0,168.36585,216.83955,0.0,0.0,0.0,168.365854,300.0,400.0,1000.0,21.5,21.5,4998.782025,8281.91619,4e-06
7,384.491626,0.0,164.04878,220.44285,0.0,0.0,0.0,164.04878,300.0,400.0,1000.0,21.5,21.5,5067.618835,8266.569963,0.0
8,391.629404,0.0,162.92683,228.70258,0.0,0.0,0.0,162.926829,300.0,400.0,1000.0,21.5,21.5,5242.95913,8420.032195,0.0
9,411.856198,0.0,159.29268,252.56351,0.0,0.0,0.0,159.292683,300.0,400.0,1000.0,21.5,21.5,5748.700825,8854.908248,3e-06
10,436.133912,6.409091,146.4878,283.23702,0.0,0.0,6.409091,146.487805,300.0,400.0,1000.0,21.5,21.5,6388.980621,9376.879117,5e-06
11,464.981658,50.727272,135.56098,278.69341,0.0,0.0,50.727272,135.560976,300.0,400.0,1000.0,21.5,21.5,6313.757547,9997.105647,0.0
12,477.829658,108.0,121.7561,248.07356,0.0,0.0,108.0,121.756098,300.0,400.0,1000.0,21.5,21.5,5685.09374,10273.337656,0.0
13,478.265341,148.77273,116.29268,213.19993,0.0,0.0,148.772728,116.292683,300.0,400.0,1000.0,21.5,21.5,4965.156585,10282.704823,3e-06
14,477.857468,164.18182,113.19512,200.48053,0.0,0.0,164.181818,113.195122,300.0,400.0,1000.0,21.5,21.5,4700.903455,10273.935558,2e-06
15,483.345214,149.86364,104.68293,228.79865,0.0,0.0,149.863637,104.682927,300.0,400.0,1000.0,21.5,21.5,5278.400475,10391.922092,0.0
16,502.904579,106.09091,85.414634,300.0,11.399036,0.0,106.090909,85.414634,300.0,400.0,1000.0,41.6,41.6,7201.120076,20920.830478,0.0
17,532.280706,50.863637,73.902439,300.0,107.51463,0.0,50.863637,73.902439,300.0,400.0,1000.0,41.6,41.6,11121.277123,22142.87737,0.0
18,544.646674,4.363637,65.390244,300.0,174.89279,0.0,4.363637,65.390244,300.0,400.0,1000.0,41.6,41.6,13860.684189,22657.301647,0.0
19,535.53442,0.0,73.292683,300.0,162.24174,0.0,0.0,73.292683,300.0,400.0,1000.0,41.6,41.6,13345.84175,22278.23188,0.0
20,517.625087,0.0,83.268293,300.0,134.35679,0.0,0.0,83.268293,300.0,400.0,1000.0,41.6,41.6,12205.77905,21533.203611,0.0
21,508.10496,0.0,91.292683,300.0,116.81228,0.0,0.0,91.292683,300.0,400.0,1000.0,41.6,41.6,11491.976214,21137.166336,0.0
22,507.391182,0.0,89.170732,300.0,118.22045,0.0,0.0,89.170732,300.0,400.0,1000.0,41.6,41.6,11546.312184,21107.473171,0.0
23,477.227119,0.0,91.609756,300.0,85.617363,0.0,0.0,91.609756,300.0,400.0,1000.0,41.6,41.6,10194.901813,19852.648134,0.0
24,449.491753,0.0,90.560976,300.0,58.930778,0.0,0.0,90.560976,300.0,400.0,1000.0,41.6,41.6,9082.642317,18698.856933,0.0
25,432.240579,0.0,85.95122,300.0,46.289359,0.0,0.0,85.95122,300.0,400.0,1000.0,41.6,41.6,8547.539774,17981.208086,0.0
26,426.048325,0.0,82.268293,300.0,43.780032,0.0,0.0,82.268293,300.0,400.0,1000.0,41.6,41.6,8435.785917,17723.610303,0.0
27,427.309023,0.0,85.804878,300.0,41.504145,0.0,0.0,85.804878,300.0,400.0,1000.0,41.6,41.6,8348.182188,17776.055357,0.0
28,435.800198,0.0,83.609756,300.0,52.190442,0.0,0.0,83.609756,300.0,400.0,1000.0,41.6,41.6,8788.341899,18129.288228,0.0
29,454.145214,0.0,75.658536,300.0,78.486678,0.0,0.0,75.658536,300.0,400.0,1000.0,41.6,41.6,9866.362877,18892.440902,0.0
30,497.518801,0.0,70.878049,300.0,126.64075,0.0,0.0,70.878049,300.0,400.0,1000.0,41.6,41.6,11860.011298,20696.78213,0.0
31,546.000071,0.0,68.317073,300.0,177.683,0.0,0.0,68.317073,300.0,400.0,1000.0,41.6,41.6,13978.246946,22713.602945,0.0
32,577.869785,0.0,63.292683,300.0,214.5771,0.0,0.0,63.292683,300.0,400.0,1000.0,41.6,41.6,15502.992726,24039.383073,0.0
33,590.838293,0.0,62.853658,300.0,227.98464,0.0,0.0,62.853658,300.0,400.0,1000.0,41.6,41.6,16059.86834,24578.873005,0.0
34,604.872833,31.772728,56.731707,300.0,216.3684,0.0,31.772728,56.731707,300.0,400.0,1000.0,41.6,41.6,15596.161582,25162.709844,0.0
35,617.32223,136.5,50.390244,300.0,130.43199,0.0,136.5,50.390244,300.0,400.0,1000.0,41.6,41.6,12113.251272,25680.60476,0.0
36,623.069531,247.36364,47.02439,300.0,28.681504,0.0,247.363637,47.02439,300.0,400.0,1000.0,41.6,41.6,7984.562986,25919.692506,0.0
37,618.073087,323.86364,45.609756,248.59969,0.0,0.0,323.863637,45.609756,300.0,400.0,1000.0,21.5,21.5,5759.976487,13288.571362,0.0
38,613.465976,355.36364,48.04878,210.05356,0.0,0.0,355.363637,48.04878,300.0,400.0,1000.0,21.5,21.5,4967.61274,13189.51848,0.0
39,611.751055,314.45455,49.365854,247.93066,0.0,0.0,314.454546,49.365854,300.0,400.0,1000.0,21.5,21.5,5743.695448,13152.647687,0.0
40,622.911944,222.54545,51.439024,300.0,48.927465,0.0,222.545454,51.439024,300.0,400.0,1000.0,41.6,41.6,8810.806042,25913.136862,4e-06
41,651.481595,100.63636,54.02439,300.0,196.82084,0.0,100.636363,54.02439,300.0,400.0,1000.0,41.6,41.6,14846.432084,27101.634344,4e-06
42,652.31588,10.772728,60.414634,300.0,281.12852,0.0,10.772728,60.414634,300.0,400.0,1000.0,41.6,41.6,18276.548428,27136.340625,0.0
43,635.092516,0.0,69.146342,300.0,265.94617,0.0,0.0,69.146342,300.0,400.0,1000.0,41.6,41.6,17651.653356,26419.848649,0.0
44,598.180007,0.0,80.073171,300.0,218.10684,0.0,0.0,80.073171,300.0,400.0,1000.0,41.6,41.6,15683.390886,24884.288308,0.0
45,573.281214,0.0,85.731707,300.0,187.54951,0.0,0.0,85.731707,300.0,400.0,1000.0,41.6,41.6,14423.52303,23848.498502,0.0
46,561.489976,0.0,94.02439,300.0,167.46559,0.0,0.0,94.02439,300.0,400.0,1000.0,41.6,41.6,13604.617324,23357.982985,0.0
47,523.641214,0.0,98.121951,300.0,125.51926,0.0,0.0,98.121951,300.0,400.0,1000.0,41.6,41.6,11867.845118,21783.474486,0.0
48,492.624325,0.0,98.317073,300.0,94.307251,0.0,0.0,98.317073,300.0,400.0,1000.0,41.6,41.6,10569.815788,20493.171903,0.0
49,471.757912,0.0,99.317073,300.0,72.440839,0.0,0.0,99.317073,300.0,400.0,1000.0,41.6,41.6,9662.173048,19625.129148,0.0
50,460.439436,0.0,103.4878,300.0,56.951631,0.0,0.0,103.487805,300.0,400.0,1000.0,41.6,41.6,9026.16345,19154.280538,5e-06
51,458.140516,0.0,97.097561,300.0,61.042955,0.0,0.0,97.097561,300.0,400.0,1000.0,41.6,41.6,9183.58205,19058.645449,0.0
52,467.846039,0.0,96.756098,300.0,71.089942,0.0,0.0,96.756098,300.0,400.0,1000.0,41.6,41.6,9600.853783,19462.395239,0.0
53,484.874738,0.0,98.585366,300.0,86.289372,0.0,0.0,98.585366,300.0,400.0,1000.0,41.6,41.6,10236.808607,20170.789092,0.0
54,523.455817,0.0,96.512195,300.0,126.94362,0.0,0.0,96.512195,300.0,400.0,1000.0,41.6,41.6,11923.878982,21775.761996,0.0
55,570.630039,0.0,93.853658,300.0,176.77638,0.0,0.0,93.853658,300.0,400.0,1000.0,41.6,41.6,13991.604724,23738.209622,0.0
56,597.679436,0.0,95.707317,300.0,201.97212,0.0,0.0,95.707317,300.0,400.0,1000.0,41.6,41.6,15043.454826,24863.464529,0.0
57,613.855309,0.136363,93.02439,300.0,220.69456,0.0,0.136363,93.02439,300.0,400.0,1000.0,41.6,41.6,15817.078839,25536.380863,0.0
58,631.838801,33.272728,83.097561,300.0,215.46851,0.0,33.272728,83.097561,300.0,400.0,1000.0,41.6,41.6,15612.957866,26284.494113,0.0
59,649.025087,117.81818,78.463415,300.0,152.74349,0.0,117.818182,78.463415,300.0,400.0,1000.0,41.6,41.6,13078.874194,26999.443611,2e-06
60,650.137468,200.18182,74.439024,300.0,75.516625,0.0,200.181818,74.439024,300.0,400.0,1000.0,41.6,41.6,9940.551468,27045.718652,0.0
61,642.610357,254.31818,73.804878,300.0,14.487297,0.0,254.318182,73.804878,300.0,400.0,1000.0,41.6,41.6,7454.599491,26732.590835,2e-06
62,629.966293,272.18182,68.878049,288.90643,0.0,0.0,272.181818,68.878049,300.0,400.0,1000.0,21.5,21.5,6621.426163,13544.275304,0.0
63,623.959436,247.09091,66.317073,300.0,10.551453,0.0,247.090909,66.317073,300.0,400.0,1000.0,41.6,41.6,7268.665501,25956.712529,0.0
64,629.873595,184.90909,59.780488,300.0,85.184016,0.0,184.909091,59.780488,300.0,400.0,1000.0,41.6,41.6,10298.125132,26202.741552,1e-06
65,651.036643,82.363637,59.146342,300.0,209.52666,0.0,82.363637,59.146342,300.0,400.0,1000.0,41.6,41.6,15366.965377,27083.124332,0.0
