Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Highest Running Cost ($/MWh),Production Cost ($),Ramp Up (MWh),Ramp Down (MWh),Ramp Cost ($),Market Cost ($),Unserved Energy (MWh),Unserved Cost ($),Spill (MWh),Spill Cost ($),Curtailment (MWh)
1,435.457214,0.0,180.0,80.649651,174.80756,0.0,0.0,180.0,100.0,600.0,1000.0,15.0,41.6,9365.961992,0.0,0.0,0.0,6531.85821,0.0,0.0,0.0,0.0,0.0
2,422.303309,0.0,150.0,97.495746,174.80756,0.0,0.0,150.0,100.0,600.0,1000.0,21.5,41.6,9668.153035,16.846095,30.0,109.499617,9079.521139,0.0,0.0,0.0,0.0,0.0
3,409.807563,0.0,135.0,100.0,174.80756,0.0,0.0,135.0,100.0,600.0,1000.0,147.7,41.6,9691.994496,2.504254,15.0,16.277651,60528.577055,0.0,0.0,0.0,0.0,0.0
4,405.181912,0.0,135.0,100.0,170.18191,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,9499.567456,0.0,4.62565,274.76361,16855.567548,0.0,0.0,0.0,0.0,0.0
5,400.07423,0.0,135.0,99.868826,165.2054,0.0,0.0,135.0,100.0,600.0,1000.0,8.5,41.6,9289.724399,0.0,5.107684,296.457325,3400.630953,0.0,0.0,0.0,0.0,0.0
6,385.205404,0.0,120.0,100.0,165.2054,0.0,0.0,120.0,100.0,600.0,1000.0,74.7,41.6,9262.54464,0.131174,15.0,0.852631,28774.843694,0.0,0.0,0.0,0.0,0.0
7,384.491626,50.0,120.0,100.0,114.49163,0.0,50.0,120.0,100.0,600.0,1000.0,41.6,41.6,7202.851808,50.0,50.71377,3012.397938,15994.85165,0.0,0.0,0.0,0.0,0.0
8,391.629404,100.0,120.0,100.0,71.629404,0.0,100.0,120.0,100.0,600.0,1000.0,41.6,41.6,5469.783206,50.0,42.862226,2546.016224,16291.783223,0.0,0.0,0.0,0.0,0.0
9,411.856198,150.0,120.0,100.0,41.856198,0.0,150.0,120.0,100.0,600.0,1000.0,41.6,41.6,4281.217837,50.0,29.773206,1768.528436,17133.21782,0.0,0.0,0.0,0.0,0.0
10,436.133912,250.0,105.0,81.133912,0.0,0.0,250.0,105.0,100.0,600.0,1000.0,21.5,21.5,2204.379108,100.0,75.722286,2608.887733,9376.879117,0.0,0.0,0.0,0.0,0.0
11,464.981658,300.0,105.0,59.981658,0.0,0.0,300.0,105.0,100.0,600.0,1000.0,21.5,21.5,1799.605647,50.0,21.152254,137.489651,9997.105647,0.0,0.0,0.0,0.0,0.0
12,477.829658,375.0,90.0,12.829658,0.0,0.0,375.0,90.0,100.0,600.0,1000.0,21.5,21.5,830.837647,75.0,62.152,306.488,10273.337656,0.0,0.0,0.0,0.0,0.0
13,478.265341,450.0,28.265341,0.0,0.0,0.0,450.0,90.0,100.0,600.0,1000.0,2.0,2.0,506.530682,75.0,74.564317,83.392777,956.530681,0.0,0.0,0.0,0.0,61.734659
14,477.857468,350.0,77.857468,50.0,0.0,0.0,350.0,90.0,100.0,600.0,1000.0,2.0,21.5,1580.714936,99.592127,100.0,325.0,955.714936,0.0,0.0,0.0,0.0,12.142532
15,483.345214,300.0,75.0,100.0,8.345214,0.0,300.0,75.0,100.0,600.0,1000.0,41.6,41.6,2947.160886,58.345214,52.857468,820.705688,20107.160886,0.0,0.0,0.0,0.0,0.0
16,502.904579,250.0,75.0,100.0,77.904579,0.0,250.0,75.0,100.0,600.0,1000.0,41.6,41.6,5790.830486,69.559365,50.0,4131.826305,20920.830478,0.0,0.0,0.0,0.0,0.0
17,532.280706,200.0,60.0,100.0,172.28071,0.0,200.0,60.0,100.0,600.0,1000.0,41.6,41.6,9636.877536,94.376131,65.0,5605.942181,22142.87737,0.0,0.0,0.0,0.0,0.0
