,FRA,FRA
hours,wind (won),solar (solEB)
1,0.522439024,0
2,0.488536585,0
3,0.471219512,0
4,0.442073171,0
5,0.434695122,0
6,0.420914634,0
7,0.410121951,0
8,0.407317073,0
9,0.398231707,0
10,0.366219512,0.005340909
11,0.338902439,0.042272727
12,0.304390244,0.09
13,0.290731707,0.123977273
14,0.282987805,0.136818182
15,0.261707317,0.124886364
16,0.213536585,0.088409091
17,0.184756098,0.042386364
18,0.16347561,0.003636364
19,0.183231707,0
20,0.208170732,0
21,0.228231707,0
22,0.222926829,0
23,0.22902439,0
24,0.226402439,0
25,0.214878049,0
26,0.205670732,0
27,0.214512195,0
28,0.20902439,0
29,0.189146341,0
30,0.177195122,0
31,0.170792683,0
32,0.158231707,0
33,0.157134146,0
34,0.141829268,0.026477273
35,0.12597561,0.11375
36,0.117560976,0.206136364
37,0.11402439,0.269886364
38,0.120121951,0.296136364
39,0.123414634,0.262045455
40,0.128597561,0.185454545
41,0.135060976,0.083863636
42,0.151036585,0.008977273
43,0.172865854,0
44,0.200182927,0
45,0.214329268,0
46,0.235060976,0
47,0.245304878,0
48,0.245792683,0
49,0.248292683,0
50,0.258719512,0
51,0.242743902,0
52,0.241890244,0
53,0.246463415,0
54,0.241280488,0
55,0.234634146,0
56,0.239268293,0
57,0.232560976,0.000113636
58,0.207743902,0.027727273
59,0.196158537,0.098181818
60,0.186097561,0.166818182
61,0.184512195,0.211931818
62,0.172195122,0.226818182
63,0.165792683,0.205909091
64,0.14945122,0.154090909
65,0.147865854,0.068636364
66,0.162012195,0.007272727
67,0.173597561,0
68,0.172987805,0
69,0.167134146,0
70,0.158109756,0
71,0.154146341,0
72,0.152073171,0
73,0.151829268,0
74,0.147987805,0
75,0.133536585,0
76,0.127743902,0
77,0.122378049,0
78,0.129695122,0
79,0.13695122,0
80,0.142987805,0
81,0.145060976,0.000113636
82,0.136402439,0.013295455
83,0.126280488,0.052386364
84,0.118780488,0.108977273
85,0.118963415,0.149545455
86,0.118902439,0.164431818
87,0.114695122,0.147159091
88,0.111890244,0.104772727
89,0.111097561,0.045795455
90,0.107621951,0.004090909
91,0.11554878,0
92,0.114695122,0
93,0.117134146,0
94,0.116463415,0
95,0.120060976,0
96,0.116219512,0
97,0.119939024,0
98,0.124756098,0
99,0.126402439,0
100,0.122439024,0
101,0.11945122,0
102,0.116890244,0
103,0.116890244,0
104,0.119756098,0
105,0.123109756,0.000340909
106,0.130914634,0.017954545
107,0.122195122,0.069204545
108,0.114817073,0.123522727
109,0.10945122,0.151363636
110,0.108353659,0.161818182
111,0.10445122,0.150454545
112,0.101585366,0.106590909
113,0.094573171,0.048068182
114,0.091829268,0.005681818
115,0.092256098,0
116,0.097378049,0
117,0.109085366,0
118,0.115609756,0
119,0.113597561,0
120,0.111463415,0
121,0.108109756,0
122,0.103719512,0
123,0.100426829,0
124,0.096585366,0
125,0.097926829,0
126,0.093536585,0
127,0.092317073,0
128,0.09,0
129,0.089817073,0.000113636
130,0.085365854,0.022159091
131,0.080914634,0.075454545
132,0.074085366,0.129431818
133,0.071280488,0.160340909
134,0.069085366,0.16875
135,0.071036585,0.150568182
136,0.065670732,0.107159091
137,0.062987805,0.046136364
138,0.062560976,0.005
139,0.065670732,0
140,0.065853659,0
141,0.06097561,0
142,0.063231707,0
143,0.06445122,0
144,0.06347561,0
145,0.064329268,0
146,0.06695122,0
147,0.066646341,0
148,0.069756098,0
149,0.076158537,0
150,0.080121951,0
151,0.081585366,0
152,0.078109756,0
153,0.080914634,0.000227273
154,0.07945122,0.022159091
155,0.075182927,0.077954545
156,0.07,0.134886364
157,0.059390244,0.174772727
158,0.055182927,0.181931818
159,0.047865854,0.162386364
160,0.040487805,0.11375
161,0.039390244,0.049318182
162,0.037378049,0.005454545
163,0.038353659,0
164,0.037073171,0
165,0.037073171,0
166,0.034085366,0
167,0.035,0
168,0.036585366,0
169,0.037987805,0
170,0.038109756,0
171,0.037195122,0
172,0.036890244,0
173,0.039878049,0
174,0.042012195,0
175,0.044512195,0
176,0.046158537,0
177,0.048170732,0.000227273
178,0.048841463,0.017727273
179,0.049390244,0.065454545
180,0.047195122,0.114659091
181,0.050121951,0.148068182
182,0.052560976,0.161818182
183,0.053597561,0.148636364
184,0.055304878,0.107727273
185,0.05652439,0.048636364
186,0.057560976,0.005113636
187,0.061036585,0
188,0.066829268,0
189,0.066768293,0
190,0.0675,0
191,0.066158537,0
192,0.065121951,0
193,0.066768293,0
194,0.063841463,0
195,0.063719512,0
196,0.062682927,0
197,0.068353659,0
198,0.073109756,0
199,0.076097561,0
200,0.072378049,0
201,0.069695122,0.000113636
202,0.067378049,0.018977273
203,0.064817073,0.06875
204,0.059085366,0.117386364
205,0.051768293,0.149659091
206,0.047682927,0.157272727
207,0.042378049,0.131704545
208,0.037439024,0.090681818
209,0.034085366,0.039772727
210,0.032987805,0.004545455
211,0.03597561,0
212,0.044634146,0
213,0.049512195,0
214,0.055304878,0
215,0.058536585,0
216,0.058597561,0
217,0.061402439,0
218,0.068231707,0
219,0.071585366,0
220,0.073414634,0
221,0.080792683,0
222,0.087804878,0
223,0.094390244,0
224,0.101707317,0
225,0.112317073,0
226,0.116402439,0.017613636
227,0.122134146,0.063636364
228,0.129634146,0.111363636
229,0.136463415,0.145909091
