Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Highest Running Cost ($/MWh),Production Cost ($),Ramp Up (MWh),Ramp Down (MWh),Ramp Cost ($),Market Cost ($),Unserved Energy (MWh),Unserved Cost ($),Spill (MWh),Spill Cost ($),Curtailment (MWh)
1,435.457214,250.0,150.0,35.457214,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1081.85821,0.0,0.0,0.0,6531.85821,0.0,0.0,0.0,0.0,0.0
2,422.303309,250.0,150.0,22.303309,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,884.549635,0.0,13.153905,0.0,6334.549632,0.0,0.0,0.0,0.0,0.0
3,409.807563,250.0,150.0,9.807563,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,697.113445,0.0,12.495746,0.0,6147.113445,0.0,0.0,0.0,0.0,0.0
4,405.181912,250.0,150.0,5.181912,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,627.728683,0.0,4.625651,0.0,6077.728683,0.0,0.0,0.0,0.0,0.0
5,400.07423,250.0,150.0,0.07423,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,551.113447,0.0,5.107682,0.0,6001.113447,0.0,0.0,0.0,0.0,0.0
6,385.205404,250.0,135.2054,0.0,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,2.0,2.0,520.4108,0.0,14.86883,0.0,770.410808,0.0,0.0,0.0,0.0,14.7946
7,384.491626,250.0,134.49163,0.0,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,2.0,2.0,518.98326,0.0,0.71377,0.0,768.983252,0.0,0.0,0.0,0.0,15.50837
8,391.629404,250.0,141.6294,0.0,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,2.0,2.0,533.2588,7.13777,0.0,0.0,783.258809,0.0,0.0,0.0,0.0,8.3706
9,411.856198,250.0,150.0,11.856198,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,727.84297,20.226798,0.0,0.0,6177.842964,0.0,0.0,0.0,0.0,0.0
10,436.133912,250.0,150.0,36.133912,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1092.00868,24.277714,0.0,0.0,6542.008686,0.0,0.0,0.0,0.0,0.0
11,464.981658,250.0,150.0,64.981658,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1524.72487,28.847746,0.0,0.0,6974.72487,0.0,0.0,0.0,0.0,0.0
12,477.829658,250.0,150.0,77.829658,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1717.44487,12.848,0.0,0.0,7167.444876,0.0,0.0,0.0,0.0,0.0
13,478.265341,250.0,150.0,78.265341,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1723.980115,0.435683,0.0,0.0,7173.980109,0.0,0.0,0.0,0.0,0.0
14,477.857468,250.0,150.0,77.857468,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1717.86202,0.0,0.407873,0.0,7167.862017,0.0,0.0,0.0,0.0,0.0
15,483.345214,250.0,150.0,83.345214,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1800.17821,5.487746,0.0,0.0,7250.178204,0.0,0.0,0.0,0.0,0.0
16,502.904579,250.0,150.0,100.0,2.904579,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,2199.585808,19.559365,0.0,0.0,25899.585808,0.0,0.0,0.0,0.0,0.0
17,532.280706,250.0,150.0,100.0,32.280706,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,3712.456359,29.376127,0.0,0.0,27412.456359,0.0,0.0,0.0,0.0,0.0
18,544.646674,250.0,150.0,100.0,44.646674,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,4349.303711,12.365968,0.0,0.0,28049.303721,0.0,0.0,0.0,0.0,0.0
19,535.53442,250.0,150.0,100.0,35.53442,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,3880.02263,0.0,9.112254,0.0,27580.02264,0.0,0.0,0.0,0.0,0.0
20,517.625087,250.0,150.0,100.0,17.625087,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,2957.69198,0.0,17.909333,0.0,26657.69197,0.0,0.0,0.0,0.0,0.0
21,508.10496,250.0,150.0,100.0,8.10496,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,2467.40544,0.0,9.520127,0.0,26167.40544,0.0,0.0,0.0,0.0,0.0
22,507.391182,250.0,150.0,100.0,7.391182,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,2430.645873,0.0,0.713778,0.0,26130.645873,0.0,0.0,0.0,0.0,0.0
23,477.227119,250.0,150.0,77.227119,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1708.406785,0.0,30.164063,0.0,7158.406779,0.0,0.0,0.0,0.0,0.0
24,449.491753,250.0,150.0,49.491753,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1292.376295,0.0,27.735366,0.0,6742.376298,0.0,0.0,0.0,0.0,0.0
25,432.240579,250.0,150.0,32.240579,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1033.608685,0.0,17.251174,0.0,6483.608685,0.0,0.0,0.0,0.0,0.0
26,426.048325,250.0,150.0,26.048325,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,940.724875,0.0,6.192254,0.0,6390.724869,0.0,0.0,0.0,0.0,0.0
27,427.309023,250.0,150.0,27.309023,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,959.635345,1.260698,0.0,0.0,6409.635345,0.0,0.0,0.0,0.0,0.0
28,435.800198,250.0,150.0,35.800198,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1087.00297,8.491175,0.0,0.0,6537.002967,0.0,0.0,0.0,0.0,0.0
29,454.145214,250.0,150.0,54.145214,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1362.17821,18.345016,0.0,0.0,6812.17821,0.0,0.0,0.0,0.0,0.0
30,497.518801,250.0,150.0,97.518801,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,2012.782015,43.373587,0.0,0.0,7462.782018,0.0,0.0,0.0,0.0,0.0
31,546.000071,250.0,150.0,100.0,46.000071,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,4419.003656,48.48127,0.0,0.0,28119.003646,0.0,0.0,0.0,0.0,0.0
32,577.869785,250.0,150.0,100.0,77.869785,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,6060.293927,31.869714,0.0,0.0,29760.293948,0.0,0.0,0.0,0.0,0.0
33,590.838293,250.0,150.0,100.0,90.838293,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,6728.17209,12.968508,0.0,0.0,30428.17211,0.0,0.0,0.0,0.0,0.0
34,604.872833,250.0,150.0,100.0,104.87283,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,7450.950745,14.034537,0.0,0.0,31150.950889,0.0,0.0,0.0,0.0,0.0
35,617.32223,250.0,150.0,100.0,117.32223,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8092.094845,12.4494,0.0,0.0,31792.094835,0.0,0.0,0.0,0.0,0.0
36,623.069531,250.0,150.0,100.0,123.06953,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8388.080795,5.7473,0.0,0.0,32088.080867,0.0,0.0,0.0,0.0,0.0
37,618.073087,250.0,150.0,100.0,118.07309,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8130.764135,0.0,4.99644,0.0,31830.76396,0.0,0.0,0.0,0.0,0.0
38,613.465976,250.0,150.0,100.0,113.46598,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,7893.49797,0.0,4.60711,0.0,31593.497754,0.0,0.0,0.0,0.0,0.0
39,611.751055,250.0,150.0,100.0,111.75106,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,7805.17959,0.0,1.71492,0.0,31505.179343,0.0,0.0,0.0,0.0,0.0
40,622.911944,250.0,150.0,100.0,122.91194,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8379.96491,11.16088,0.0,0.0,32079.965106,0.0,0.0,0.0,0.0,0.0
41,651.481595,250.0,150.0,100.0,151.48159,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9851.301885,28.56965,0.0,0.0,33551.302132,0.0,0.0,0.0,0.0,0.0
42,652.31588,250.0,150.0,100.0,152.31588,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9894.26782,0.83429,0.0,0.0,33594.267841,0.0,0.0,0.0,0.0,0.0
43,635.092516,250.0,150.0,100.0,135.09252,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9007.26478,0.0,17.22336,0.0,32707.264553,0.0,0.0,0.0,0.0,0.0
44,598.180007,250.0,150.0,100.0,98.180007,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,7106.270361,0.0,36.912513,0.0,30806.270381,0.0,0.0,0.0,0.0,0.0
45,573.281214,250.0,150.0,100.0,73.281214,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,5823.982521,0.0,24.898793,0.0,29523.982521,0.0,0.0,0.0,0.0,0.0
46,561.489976,250.0,150.0,100.0,61.489976,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,5216.733764,0.0,11.791238,0.0,28916.733743,0.0,0.0,0.0,0.0,0.0
47,523.641214,250.0,150.0,100.0,23.641214,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,3267.522521,0.0,37.848762,0.0,26967.5225,0.0,0.0,0.0,0.0,0.0
48,492.624325,250.0,150.0,92.624325,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1939.364875,0.0,31.016889,0.0,7389.364869,0.0,0.0,0.0,0.0,0.0
49,471.757912,250.0,150.0,71.757912,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1626.36868,0.0,20.866413,0.0,7076.368683,0.0,0.0,0.0,0.0,0.0
50,460.439436,250.0,150.0,60.439436,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1456.59154,0.0,11.318476,0.0,6906.59154,0.0,0.0,0.0,0.0,0.0
51,458.140516,250.0,150.0,58.140516,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1422.10774,0.0,2.29892,0.0,6872.107734,0.0,0.0,0.0,0.0,0.0
52,467.846039,250.0,150.0,67.846039,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1567.690585,9.705523,0.0,0.0,7017.690591,0.0,0.0,0.0,0.0,0.0
53,484.874738,250.0,150.0,84.874738,0.0,0.0,250.0,150.0,100.0,600.0,1000.0,15.0,15.0,1823.12107,17.028699,0.0,0.0,7273.121067,0.0,0.0,0.0,0.0,0.0
54,523.455817,250.0,150.0,100.0,23.455817,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,3257.974576,38.581079,0.0,0.0,26957.974586,0.0,0.0,0.0,0.0,0.0
55,570.630039,250.0,150.0,100.0,70.630039,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,5687.447008,47.174222,0.0,0.0,29387.447008,0.0,0.0,0.0,0.0,0.0
56,597.679436,250.0,150.0,100.0,97.679436,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,7080.490954,27.049397,0.0,0.0,30780.490944,0.0,0.0,0.0,0.0,0.0
57,613.855309,250.0,150.0,100.0,113.85531,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,7913.548465,16.175874,0.0,0.0,31613.548424,0.0,0.0,0.0,0.0,0.0
58,631.838801,250.0,150.0,100.0,131.8388,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8839.6982,17.98349,0.0,0.0,32539.698241,0.0,0.0,0.0,0.0,0.0
59,649.025087,250.0,150.0,100.0,149.02509,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9724.792135,17.18629,0.0,0.0,33424.79197,0.0,0.0,0.0,0.0,0.0
60,650.137468,250.0,150.0,100.0,150.13747,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9782.079705,1.11238,0.0,0.0,33482.079581,0.0,0.0,0.0,0.0,0.0
61,642.610357,250.0,150.0,100.0,142.61036,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9394.43354,0.0,7.52711,0.0,33094.433365,0.0,0.0,0.0,0.0,0.0
62,629.966293,250.0,150.0,100.0,129.96629,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8743.263935,0.0,12.64407,0.0,32443.2641,0.0,0.0,0.0,0.0,0.0
63,623.959436,250.0,150.0,100.0,123.95944,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8433.91116,0.0,6.00685,0.0,32133.910944,0.0,0.0,0.0,0.0,0.0
64,629.873595,250.0,150.0,100.0,129.8736,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8738.4904,5.91416,0.0,0.0,32438.490143,0.0,0.0,0.0,0.0,0.0
65,651.036643,250.0,150.0,100.0,151.03664,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9828.38696,21.16304,0.0,0.0,33528.387094,0.0,0.0,0.0,0.0,0.0
66,649.015817,250.0,150.0,100.0,149.01582,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,9724.31473,0.0,2.02082,0.0,33424.314565,0.0,0.0,0.0,0.0,0.0
67,629.039309,250.0,150.0,100.0,129.03931,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,8695.524465,0.0,19.97651,0.0,32395.524403,0.0,0.0,0.0,0.0,0.0
68,592.312198,250.0,150.0,100.0,92.312198,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,6804.078197,0.0,36.727112,0.0,30504.078176,0.0,0.0,0.0,0.0,0.0
69,571.362356,250.0,150.0,100.0,71.362356,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,5725.161334,0.0,20.949842,0.0,29425.161355,0.0,0.0,0.0,0.0,0.0
70,556.623309,250.0,150.0,100.0,56.623309,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,4966.100414,0.0,14.739047,0.0,28666.100413,0.0,0.0,0.0,0.0,0.0
71,514.176706,250.0,150.0,100.0,14.176706,0.0,250.0,150.0,100.0,600.0,1000.0,51.5,51.5,2780.100359,0.0,42.446603,0.0,26480.100338,0.0,0.0,0.0,0.0,0.0
