Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Highest Running Cost ($/MWh),Production Cost ($),Ramp Up (MWh),Ramp Down (MWh),Ramp Cost ($),Market Cost ($),Unserved Energy (MWh),Unserved Cost ($),Spill (MWh),Spill Cost ($),Curtailment (MWh)
1,435.457214,0.0,300.0,100.0,35.457214,0.0,0.0,300.0,100.0,600.0,1000.0,41.6,41.6,3925.020102,0.0,0.0,0.0,18115.020102,0.0,0.0,0.0,0.0,0.0
2,422.303309,0.0,250.0,100.0,72.303309,0.0,0.0,250.0,100.0,600.0,1000.0,41.6,41.6,5407.817654,36.846095,50.0,0.0,17567.817646,0.0,0.0,0.0,0.0,0.0
3,409.807563,0.0,225.0,100.0,84.807563,0.0,0.0,225.0,100.0,600.0,1000.0,41.6,41.6,5902.994621,12.504254,25.0,0.0,17047.994621,0.0,0.0,0.0,0.0,0.0
4,405.181912,0.0,225.0,100.0,80.181912,0.0,0.0,225.0,100.0,600.0,1000.0,41.6,41.6,5710.567539,0.0,4.625651,0.0,16855.567548,0.0,0.0,0.0,0.0,0.0
5,400.07423,0.0,225.0,100.0,75.07423,0.0,0.0,225.0,100.0,600.0,1000.0,41.6,41.6,5498.087968,0.0,5.107682,0.0,16643.08796,0.0,0.0,0.0,0.0,0.0
6,385.205404,0.0,200.0,100.0,85.205404,0.0,0.0,200.0,100.0,600.0,1000.0,41.6,41.6,5894.544806,10.131174,25.0,0.0,16024.544815,0.0,0.0,0.0,0.0,0.0
7,384.491626,50.0,200.0,100.0,34.491626,0.0,50.0,200.0,100.0,600.0,1000.0,41.6,41.6,3809.851642,50.0,50.713778,0.0,15994.85165,0.0,0.0,0.0,0.0,0.0
8,391.629404,100.0,200.0,75.0,16.629404,0.0,100.0,200.0,100.0,600.0,1000.0,41.6,41.6,2554.283206,50.0,42.862222,0.0,16291.783223,0.0,0.0,0.0,0.0,0.0
9,411.856198,150.0,200.0,50.0,11.856198,0.0,150.0,200.0,100.0,600.0,1000.0,41.6,41.6,1843.217837,50.0,29.773206,0.0,17133.21782,0.0,0.0,0.0,0.0,0.0
10,436.133912,250.0,161.13391,25.0,0.0,0.0,250.0,175.0,100.0,600.0,1000.0,1.0,21.5,823.63391,100.0,75.722288,0.0,436.133912,0.0,0.0,0.0,0.0,13.86609
11,464.981658,300.0,164.98166,0.0,0.0,0.0,300.0,175.0,100.0,600.0,1000.0,1.0,1.0,314.98166,53.84775,25.0,0.0,464.981658,0.0,0.0,0.0,0.0,10.01834
12,477.829658,375.0,102.82966,0.0,0.0,0.0,375.0,150.0,100.0,600.0,1000.0,1.0,1.0,290.32966,75.0,62.152,0.0,477.829658,0.0,0.0,0.0,0.0,47.17034
13,478.265341,450.0,28.265341,0.0,0.0,0.0,450.0,150.0,100.0,600.0,1000.0,1.0,1.0,253.265341,75.0,74.564319,0.0,478.265341,0.0,0.0,0.0,0.0,121.734659
14,477.857468,350.0,102.85747,25.0,0.0,0.0,350.0,150.0,100.0,600.0,1000.0,1.0,21.5,815.35747,99.592129,100.0,0.0,477.857468,0.0,0.0,0.0,0.0,47.14253
15,483.345214,300.0,125.0,50.0,8.345214,0.0,300.0,125.0,100.0,600.0,1000.0,41.6,41.6,1697.160886,55.487744,50.0,0.0,20107.160886,0.0,0.0,0.0,0.0,0.0
16,502.904579,250.0,125.0,75.0,52.904579,0.0,250.0,125.0,100.0,600.0,1000.0,41.6,41.6,4063.330486,69.559365,50.0,0.0,20920.830478,0.0,0.0,0.0,0.0,0.0
17,532.280706,200.0,100.0,100.0,132.28071,0.0,200.0,100.0,100.0,600.0,1000.0,41.6,41.6,7852.877536,104.376131,75.0,0.0,22142.87737,0.0,0.0,0.0,0.0,0.0
18,544.646674,150.0,75.0,100.0,219.64667,0.0,150.0,75.0,100.0,600.0,1000.0,41.6,41.6,11437.301472,87.36596,75.0,0.0,22657.301647,0.0,0.0,0.0,0.0,0.0
19,535.53442,50.0,100.0,100.0,285.53442,0.0,50.0,100.0,100.0,600.0,1000.0,41.6,41.6,14153.231872,90.88775,100.0,0.0,22278.23188,0.0,0.0,0.0,0.0,0.0
20,517.625087,0.0,100.0,100.0,317.62509,0.0,0.0,100.0,100.0,600.0,1000.0,41.6,41.6,15463.203744,32.09067,50.0,0.0,21533.203611,0.0,0.0,0.0,0.0,0.0
21,508.10496,0.0,150.0,100.0,258.10496,0.0,0.0,150.0,100.0,600.0,1000.0,41.6,41.6,13037.166336,50.0,59.52013,0.0,21137.166336,0.0,0.0,0.0,0.0,0.0
