Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Shadow Price ($/MWh),Production Cost ($),Market Cost ($),Curtailment (MWh)
1,435.457214,0.0,180.0,100.0,155.45721,0.0,0.0,180.0,100.0,600.0,1000.0,41.6,41.6,8977.019936,18115.020102,0.0
2,422.303309,0.0,150.0,100.0,172.30331,0.0,0.0,150.0,100.0,600.0,1000.0,41.6,41.6,9617.817696,17567.817646,0.0
3,409.807563,0.0,135.0,100.0,174.80756,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,9691.994496,17047.994621,0.0
4,405.181912,0.0,135.0,100.0,170.18191,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,9499.567456,16855.567548,0.0
5,400.07423,0.0,135.0,100.0,165.07423,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,9287.087968,16643.08796,0.0
6,385.205404,0.0,120.0,100.0,165.2054,0.0,0.0,120.0,100.0,600.0,1000.0,41.6,41.6,9262.54464,16024.544815,0.0
7,384.491626,50.0,120.0,100.0,114.49163,0.0,50.0,120.0,100.0,600.0,1000.0,41.6,41.6,7202.851808,15994.85165,0.0
8,391.629404,100.0,120.0,100.0,71.629404,0.0,100.0,120.0,100.0,600.0,1000.0,41.6,41.6,5469.783206,16291.783223,0.0
9,411.856198,150.0,120.0,100.0,41.856198,0.0,150.0,120.0,100.0,600.0,1000.0,41.6,41.6,4281.217837,17133.21782,0.0
10,436.133912,250.0,105.0,81.133912,0.0,0.0,250.0,105.0,100.0,600.0,1000.0,21.5,21.5,2204.379108,9376.879117,0.0
11,464.981658,300.0,105.0,59.981658,0.0,0.0,300.0,105.0,100.0,600.0,1000.0,21.5,21.5,1799.605647,9997.105647,0.0
12,477.829658,375.0,90.0,12.829658,0.0,0.0,375.0,90.0,100.0,600.0,1000.0,21.5,21.5,830.837647,10273.337656,0.0
13,478.265341,450.0,28.265341,0.0,0.0,0.0,450.0,90.0,100.0,600.0,1000.0,2.0,2.0,506.530682,956.530681,61.734659
14,477.857468,350.0,90.0,37.857468,0.0,0.0,350.0,90.0,100.0,600.0,1000.0,21.5,21.5,1343.935562,10273.935558,0.0
15,483.345214,300.0,75.0,100.0,8.345214,0.0,300.0,75.0,100.0,600.0,1000.0,41.6,41.6,2947.160886,20107.160886,0.0
16,502.904579,250.0,75.0,100.0,77.904579,0.0,250.0,75.0,100.0,600.0,1000.0,41.6,41.6,5790.830486,20920.830478,0.0
17,532.280706,200.0,60.0,100.0,172.28071,0.0,200.0,60.0,100.0,600.0,1000.0,41.6,41.6,9636.877536,22142.87737,0.0
18,544.646674,150.0,45.0,100.0,249.64667,0.0,150.0,45.0,100.0,600.0,1000.0,41.6,41.6,12775.301472,22657.301647,0.0
19,535.53442,50.0,60.0,100.0,325.53442,0.0,50.0,60.0,100.0,600.0,1000.0,41.6,41.6,15862.231872,22278.23188,0.0
20,517.625087,0.0,60.0,100.0,357.62509,0.0,0.0,60.0,100.0,600.0,1000.0,41.6,41.6,17147.203744,21533.203611,0.0
21,508.10496,0.0,90.0,100.0,318.10496,0.0,0.0,90.0,100.0,600.0,1000.0,41.6,41.6,15563.166336,21137.166336,0.0
22,507.391182,0.0,120.0,100.0,287.39118,0.0,0.0,120.0,100.0,600.0,1000.0,41.6,41.6,14345.473088,21107.473171,0.0
23,477.227119,0.0,150.0,100.0,227.22712,0.0,0.0,150.0,100.0,600.0,1000.0,41.6,41.6,11902.648192,19852.648134,0.0
24,449.491753,0.0,225.0,100.0,124.49175,0.0,0.0,225.0,100.0,600.0,1000.0,41.6,41.6,7778.8568,18698.856933,0.0
25,432.240579,0.0,180.0,100.0,152.24058,0.0,0.0,180.0,100.0,600.0,1000.0,41.6,41.6,8843.208128,17981.208086,0.0
26,426.048325,0.0,150.0,100.0,176.04832,0.0,0.0,150.0,100.0,600.0,1000.0,41.6,41.6,9773.610112,17723.610303,0.0
27,427.309023,0.0,135.0,100.0,192.30902,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,10420.055232,17776.055357,0.0
28,435.800198,0.0,135.0,100.0,200.8002,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,10773.28832,18129.288228,0.0
29,454.145214,0.0,135.0,100.0,219.14521,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,11536.440736,18892.440902,0.0
